,casualty_class,sex_of_casualty,age_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
72632,2,2,65,0,0,1,0,0,9,1,2
105972,2,2,17,0,0,1,0,0,9,2,9
32845,1,1,27,0,0,0,0,0,9,1,9
42204,2,2,78,0,0,1,0,0,9,1,7
22638,1,1,50,0,0,0,0,0,8,1,7
96590,1,2,36,0,0,0,0,0,16,3,5
104238,1,1,45,0,0,0,0,0,5,1,5
5692,3,1,72,4,1,0,0,0,0,1,7
80590,1,1,81,0,0,0,0,0,9,1,1
94874,2,2,36,0,0,1,0,0,9,1,6
58143,2,2,82,0,0,1,0,0,9,1,2
108006,1,1,45,0,0,0,0,0,1,2,8
38535,1,1,27,0,0,0,0,0,9,3,4
100845,1,2,56,0,0,0,0,0,9,1,6
106878,3,1,39,5,1,0,0,0,0,1,6
79830,3,1,49,5,1,0,0,0,0,1,4
15302,3,2,63,1,1,0,0,0,0,1,6
1142,3,2,6,9,7,0,0,0,0,1,3
89273,2,2,49,0,0,1,0,0,9,3,9
21045,1,1,28,0,0,0,0,0,1,1,5
63798,1,2,44,0,0,0,0,0,9,1,3
60729,3,1,4,5,2,0,0,0,0,1,4
83665,2,2,17,0,0,1,0,0,9,1,5
73469,1,2,83,0,0,0,0,0,9,1,10
29748,1,2,24,0,0,0,0,0,9,1,5
31036,1,1,21,0,0,0,0,0,3,1,3
7934,1,1,34,0,0,0,0,0,1,1,2
48496,1,1,55,0,0,0,0,0,5,3,6
57826,1,1,37,0,0,0,0,0,9,1,5
102305,1,1,62,0,0,0,0,0,19,1,6
88798,2,2,17,0,0,2,0,0,9,1,8
55802,1,2,49,0,0,0,0,0,9,1,9
26963,1,1,65,0,0,0,0,0,19,1,9
19857,1,1,38,0,0,0,0,0,9,1,2
77228,2,2,9,0,0,2,0,0,9,1,5
15613,1,2,18,0,0,0,0,0,9,1,9
46591,1,1,35,0,0,0,0,0,9,1,1
83938,1,1,29,0,0,0,0,0,9,1,4
88827,1,1,19,0,0,0,0,0,9,2,9
114279,1,2,32,0,0,0,0,0,9,1,6
44295,1,1,36,0,0,0,0,0,3,3,6
12341,1,1,32,0,0,0,0,0,1,1,4
109391,2,2,24,0,0,1,0,0,9,1,3
70352,1,1,22,0,0,0,0,0,3,2,5
82970,1,1,23,0,0,0,0,0,9,1,5
93362,1,2,27,0,0,0,0,0,9,1,4
22637,1,2,41,0,0,0,0,0,9,1,8
96663,1,1,25,0,0,0,0,0,9,1,5
61526,1,2,41,0,0,0,0,0,1,1,1
4319,1,1,50,0,0,0,0,0,9,1,2
2461,1,1,28,0,0,0,0,0,1,1,4
92314,1,1,53,0,0,0,0,0,1,1,9
36348,1,2,29,0,0,0,0,0,9,3,5
2644,2,2,81,0,0,0,1,0,11,1,4
58533,1,2,17,0,0,0,0,0,9,1,1
63873,1,1,19,0,0,0,0,0,9,1,8
95366,1,1,53,0,0,0,0,0,5,1,1
87808,1,1,31,0,0,0,0,0,1,1,2
19008,3,2,33,1,1,0,0,0,0,1,6
69954,1,2,27,0,0,0,0,0,9,1,5
98004,1,1,56,0,0,0,0,0,9,2,4
93730,2,1,26,0,0,2,0,0,9,1,2
19177,1,1,28,0,0,0,0,0,9,1,9
68910,1,2,39,0,0,0,0,0,9,2,6
33052,1,1,11,0,0,0,0,0,1,1,7
88606,2,1,18,0,0,1,0,0,9,1,6
49883,1,1,32,0,0,0,0,0,9,1,1
38330,1,1,63,0,0,0,0,0,1,1,9
16332,1,1,49,0,0,0,0,0,9,1,2
108429,3,2,74,1,3,0,0,0,0,1,1
55654,2,2,44,0,0,1,0,0,9,3,6
87758,1,2,16,0,0,0,0,0,90,1,4
67056,1,1,52,0,0,0,0,0,5,2,5
69202,1,2,46,0,0,0,0,0,1,1,1
36735,1,1,60,0,0,0,0,0,9,1,2
61601,1,2,23,0,0,0,0,0,9,1,1
43137,1,1,21,0,0,0,0,0,9,1,4
76528,2,1,37,0,0,1,0,0,9,1,1
28093,1,1,48,0,0,0,0,0,9,1,6
83284,1,2,22,0,0,0,0,0,9,1,9
50472,1,1,28,0,0,0,0,0,9,1,1
73768,2,2,48,0,0,1,0,0,9,1,10
103909,2,2,3,0,0,2,0,0,9,1,1
112069,1,1,73,0,0,0,0,0,1,3,6
23097,1,1,29,0,0,0,0,0,9,1,3
73591,1,1,30,0,0,0,0,0,9,1,1
46597,3,1,13,1,1,0,0,0,0,1,6
103385,3,2,20,4,3,0,0,0,0,2,3
71095,1,1,29,0,0,0,0,0,5,1,6
12538,2,2,20,0,0,2,0,0,8,1,4
9005,1,1,23,0,0,0,0,0,3,1,2
1119,3,1,4,5,1,0,0,0,0,1,4
57992,2,1,0,0,0,2,0,0,9,1,1
18716,1,1,25,0,0,0,0,0,3,1,4
70391,2,2,86,0,0,1,0,0,9,3,5
101910,1,1,22,0,0,0,0,0,1,1,8
17526,1,2,38,0,0,0,0,0,9,1,6
61968,1,1,37,0,0,0,0,0,9,1,5
103929,1,1,32,0,0,0,0,0,9,2,8
89042,1,2,66,0,0,0,0,0,9,1,5
63982,1,1,14,0,0,0,0,0,1,1,7
41221,1,1,22,0,0,0,0,0,3,1,4
5106,2,2,4,0,0,2,0,0,9,1,3
21667,3,2,14,1,1,0,0,0,0,1,3
15909,1,1,27,0,0,0,0,0,3,1,3
34362,1,1,29,0,0,0,0,0,9,1,7
17262,1,1,36,0,0,0,0,0,4,1,3
18397,1,1,33,0,0,0,0,0,3,1,5
109763,1,2,46,0,0,0,0,0,9,3,8
28743,2,2,58,0,0,1,0,0,9,1,1
40315,1,1,33,0,0,0,0,0,9,1,3
21080,1,1,53,0,0,0,0,0,9,1,3
60375,1,2,34,0,0,0,0,0,9,1,2
82673,1,1,43,0,0,0,0,0,9,1,10
85413,3,2,17,5,1,0,0,0,0,1,6
75417,2,1,63,0,0,1,0,0,9,3,7
9867,1,1,41,0,0,0,0,0,3,1,7
82783,1,1,74,0,0,0,0,0,9,3,5
115103,3,2,28,9,5,0,0,0,0,3,8
93695,3,1,56,5,1,0,0,0,0,1,6
68495,1,2,40,0,0,0,0,0,1,3,9
102662,1,1,92,0,0,0,0,0,1,1,7
107992,1,2,60,0,0,0,0,0,9,1,2
37900,1,2,23,0,0,0,0,0,9,1,6
8538,1,1,57,0,0,0,0,0,1,1,3
63393,1,1,59,0,0,0,0,0,5,2,9
77691,1,2,58,0,0,0,0,0,9,1,6
82431,1,2,37,0,0,0,0,0,1,1,3
26820,1,1,44,0,0,0,0,0,9,1,1
26821,2,2,10,0,0,1,0,0,9,3,9
16743,1,1,51,0,0,0,0,0,9,1,1
11704,1,1,29,0,0,0,0,0,3,1,2
58035,2,1,18,0,0,2,0,0,9,1,1
30204,1,2,15,0,0,0,0,0,1,1,2
2493,1,2,27,0,0,0,0,0,9,1,1
29882,1,1,77,0,0,0,0,0,9,1,6
111259,3,2,54,5,4,0,0,0,0,1,10
45502,3,1,32,5,1,0,0,0,0,1,1
32391,1,1,22,0,0,0,0,0,9,1,1
72300,1,1,51,0,0,0,0,0,1,1,7
108107,1,1,41,0,0,0,0,0,9,2,2
28192,1,2,28,0,0,0,0,0,9,1,10
39411,1,1,57,0,0,0,0,0,1,1,7
22017,3,1,64,5,2,0,0,0,0,1,3
67727,1,2,24,0,0,0,0,0,9,2,6
71256,1,1,66,0,0,0,0,0,1,1,10
24709,1,1,27,0,0,0,0,0,9,1,2
84539,1,2,50,0,0,0,0,0,9,1,10
105234,1,1,9,0,0,0,0,0,1,1,2
11695,1,1,24,0,0,0,0,0,3,1,7
3782,1,1,23,0,0,0,0,0,3,1,7
2649,3,1,18,1,3,0,0,0,0,1,3
29644,3,2,64,5,3,0,0,0,0,1,2
105828,1,1,29,0,0,0,0,0,5,1,4
1036,1,1,73,0,0,0,0,0,9,1,6
16855,1,1,21,0,0,0,0,0,3,1,5
3856,1,2,46,0,0,0,0,0,1,1,4
82942,1,1,25,0,0,0,0,0,1,1,7
12147,1,1,26,0,0,0,0,0,3,1,1
3751,1,2,27,0,0,0,0,0,9,1,6
5429,1,1,23,0,0,0,0,0,9,1,5
28591,1,2,51,0,0,0,0,0,1,1,8
29676,1,1,13,0,0,0,0,0,1,1,8
74861,1,1,40,0,0,0,0,0,1,1,10
9658,2,2,8,0,0,2,0,0,9,1,3
71270,1,1,26,0,0,0,0,0,19,1,8
19604,1,2,35,0,0,0,0,0,9,1,4
82660,1,1,52,0,0,0,0,0,19,1,10
33350,1,1,44,0,0,0,0,0,9,1,3
86237,1,2,27,0,0,0,0,0,9,1,8
2314,1,1,53,0,0,0,0,0,5,2,5
72696,1,2,43,0,0,0,0,0,9,3,7
58013,2,2,38,0,0,1,0,0,9,1,6
94137,2,2,17,0,0,1,0,0,9,3,7
