,casualty_class,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
0,3,1,31,3,9,5,0,0,0,0,1,4
1,3,2,2,3,1,1,0,0,0,0,1,2
2,3,2,4,3,1,1,0,0,0,0,1,2
3,3,1,47,2,4,1,0,0,0,0,1,3
4,1,1,25,3,0,0,0,0,0,9,1,4
5,1,1,41,3,0,0,0,0,0,9,1,3
6,1,1,62,3,0,0,0,0,0,9,1,6
7,1,1,37,3,0,0,0,0,0,3,1,8
8,1,1,33,2,0,0,0,0,0,9,1,6
9,1,1,41,2,0,0,0,0,0,9,1,4
10,2,2,42,3,0,0,1,0,0,9,1,4
11,1,1,30,3,0,0,0,0,0,9,1,2
12,2,1,18,2,0,0,2,0,0,9,1,5
13,2,1,38,3,0,0,2,0,0,9,1,2
14,2,2,39,3,0,0,1,0,0,9,1,3
15,1,1,38,3,0,0,0,0,0,8,1,2
16,1,1,19,2,0,0,0,0,0,2,1,5
17,1,1,48,3,0,0,0,0,0,9,1,8
18,2,1,7,2,0,0,2,0,0,9,1,8
19,1,1,20,3,0,0,0,0,0,3,1,6
20,2,2,26,3,0,0,0,4,0,11,1,1
21,1,1,41,3,0,0,0,0,0,9,1,8
22,1,2,79,3,0,0,0,0,0,9,1,9
23,3,1,45,3,5,1,0,0,0,0,1,2
24,1,1,45,2,0,0,0,0,0,1,2,4
25,2,2,27,3,0,0,2,0,0,8,1,3
26,2,2,44,3,0,0,2,0,0,8,1,3
27,1,1,51,3,0,0,0,0,0,8,1,5
28,1,1,52,3,0,0,0,0,0,9,1,2
29,2,1,21,2,0,0,1,0,0,9,1,2
30,1,2,22,3,0,0,0,0,0,9,1,1
31,1,2,31,3,0,0,0,0,0,9,1,3
32,1,2,20,3,0,0,0,0,0,9,1,4
33,2,1,21,3,0,0,2,0,0,9,1,5
34,2,1,27,3,0,0,1,0,0,9,1,5
35,1,1,59,3,0,0,0,0,0,1,1,2
36,1,1,51,2,0,0,0,0,0,1,1,2
37,1,2,59,3,0,0,0,0,0,9,1,8
38,3,2,60,2,1,3,0,0,0,0,1,2
39,1,1,42,3,0,0,0,0,0,9,1,5
40,3,1,77,3,5,2,0,0,0,0,1,5
41,1,1,22,3,0,0,0,0,0,3,1,7
42,1,2,54,3,0,0,0,0,0,9,1,8
43,3,2,10,3,1,3,0,0,0,0,1,5
44,1,1,32,3,0,0,0,0,0,19,1,3
45,1,2,27,3,0,0,0,0,0,9,1,3
46,1,1,27,3,0,0,0,0,0,3,1,2
47,1,1,39,3,0,0,0,0,0,4,1,1
48,1,1,59,2,0,0,0,0,0,19,1,3
49,1,1,38,3,0,0,0,0,0,3,1,4
50,1,1,38,2,0,0,0,0,0,1,1,4
51,1,1,31,3,0,0,0,0,0,1,1,2
52,1,1,56,3,0,0,0,0,0,1,1,4
53,1,1,26,3,0,0,0,0,0,1,1,3
54,1,1,33,3,0,0,0,0,0,4,1,5
55,2,1,45,3,0,0,0,3,0,11,1,10
56,3,2,24,3,5,1,0,0,0,0,1,8
57,1,1,50,2,0,0,0,0,0,1,1,2
58,1,1,88,3,0,0,0,0,0,9,1,3
