,casualty_severity
72632,3
105972,3
32845,3
42204,2
22638,3
96590,3
104238,3
5692,3
80590,3
94874,3
58143,2
108006,2
38535,2
100845,3
106878,3
79830,3
15302,2
1142,3
89273,2
21045,2
63798,3
60729,3
83665,3
73469,2
29748,3
31036,3
7934,3
48496,3
57826,3
102305,3
88798,3
55802,3
26963,3
19857,3
77228,3
15613,3
46591,3
83938,3
88827,3
114279,2
44295,2
12341,3
109391,3
70352,3
82970,3
93362,3
22637,3
96663,3
61526,3
4319,3
2461,3
92314,3
36348,3
2644,3
58533,3
63873,3
95366,3
87808,3
19008,3
69954,3
98004,1
93730,3
19177,3
68910,2
33052,2
88606,3
49883,3
38330,2
16332,3
108429,3
55654,3
87758,2
67056,3
69202,3
36735,3
61601,3
43137,3
76528,3
28093,3
83284,3
50472,3
73768,3
103909,3
112069,3
23097,3
73591,3
46597,3
103385,3
71095,2
12538,3
9005,3
1119,3
57992,3
18716,2
70391,3
101910,3
17526,3
61968,3
103929,3
89042,3
63982,3
41221,3
5106,3
21667,2
15909,3
34362,3
17262,3
18397,3
109763,3
28743,3
40315,3
21080,3
60375,3
82673,3
85413,3
75417,3
9867,3
82783,3
115103,3
93695,2
68495,3
102662,3
107992,2
37900,3
8538,2
63393,1
77691,3
82431,3
26820,2
26821,2
16743,3
11704,2
58035,3
30204,3
2493,3
29882,3
111259,3
45502,3
32391,3
72300,2
108107,3
28192,3
39411,3
22017,3
67727,3
71256,3
24709,3
84539,3
105234,3
11695,3
3782,2
2649,3
29644,3
105828,2
1036,3
16855,3
3856,3
82942,2
12147,3
3751,2
5429,3
28591,3
29676,3
74861,3
9658,3
71270,3
19604,3
82660,3
33350,3
86237,3
2314,3
72696,3
58013,3
94137,3
87120,3
42510,3
5487,3
104192,3
113001,2
99639,3
11404,3
108979,3
67849,3
71608,2
35970,3
107782,3
82671,3
96569,3
96429,3
86175,3
99353,3
62966,3
108825,3
95568,3
2875,2
13508,3
27863,3
7894,3
81835,3
3904,3
59888,3
28222,3
81537,2
83719,3
7931,2
61640,2
48327,3
94131,3
93661,3
74297,2
83605,3
2796,3
28097,2
64020,1
99585,2
82968,3
1906,3
62687,2
56765,3
576,3
47611,3
50774,3
50308,3
41191,2
113123,3
72336,2
77701,3
105505,3
40784,3
106200,3
6023,3
67210,3
95779,2
80707,3
115354,3
111921,3
41337,2
48490,3
108732,3
38008,1
4547,3
81719,2
94287,3
78313,3
54224,3
100262,2
7773,3
